file_name,fold,final_label,clean_npy_name
mix_0000_1_1.npy,1,1,horn_1_2.npy
mix_0001_1_1.npy,1,1,horn_1_2.npy
mix_0002_1_1.npy,1,1,horn_1_1.npy
mix_0003_1_1.npy,1,1,horn_1_1.npy
mix_0004_1_2.npy,1,2,siren_1_1.npy
mix_0005_1_1.npy,1,1,horn_1_2.npy
mix_0006_1_2.npy,1,2,siren_1_3.npy
mix_0007_1_2.npy,1,2,siren_1_1.npy
mix_0008_1_1.npy,1,1,horn_1_2.npy
mix_0009_1_2.npy,1,2,siren_1_2.npy
mix_0010_1_1.npy,1,1,horn_1_1.npy
mix_0011_1_2.npy,1,2,siren_1_2.npy
mix_0012_1_1.npy,1,1,horn_1_1.npy
mix_0013_1_1.npy,1,1,horn_1_3.npy
mix_0014_1_2.npy,1,2,siren_1_3.npy
mix_0015_1_1.npy,1,1,horn_1_2.npy
mix_0016_1_1.npy,1,1,horn_1_3.npy
mix_0017_1_2.npy,1,2,siren_1_3.npy
mix_0018_1_1.npy,1,1,horn_1_1.npy
mix_0019_1_2.npy,1,2,siren_1_3.npy
mix_0020_1_2.npy,1,2,siren_1_3.npy
mix_0021_1_1.npy,1,1,horn_1_2.npy
mix_0022_1_1.npy,1,1,horn_1_3.npy
mix_0023_1_1.npy,1,1,horn_1_2.npy
mix_0024_1_2.npy,1,2,siren_1_1.npy
mix_0025_1_1.npy,1,1,horn_1_1.npy
mix_0026_1_1.npy,1,1,horn_1_3.npy
mix_0027_1_1.npy,1,1,horn_1_3.npy
mix_0028_1_2.npy,1,2,siren_1_2.npy
mix_0029_1_1.npy,1,1,horn_1_3.npy
mix_0030_1_1.npy,1,1,horn_1_3.npy
mix_0031_1_1.npy,1,1,horn_1_1.npy
mix_0032_1_1.npy,1,1,horn_1_2.npy
mix_0033_1_2.npy,1,2,siren_1_1.npy
mix_0034_1_1.npy,1,1,horn_1_1.npy
mix_0035_1_2.npy,1,2,siren_1_3.npy
mix_0036_1_1.npy,1,1,horn_1_3.npy
mix_0037_1_1.npy,1,1,horn_1_2.npy
mix_0038_1_2.npy,1,2,siren_1_1.npy
mix_0039_1_1.npy,1,1,horn_1_3.npy
mix_0040_1_2.npy,1,2,siren_1_3.npy
mix_0041_1_1.npy,1,1,horn_1_3.npy
mix_0042_1_2.npy,1,2,siren_1_3.npy
mix_0043_1_2.npy,1,2,siren_1_1.npy
mix_0044_1_1.npy,1,1,horn_1_3.npy
mix_0045_1_2.npy,1,2,siren_1_3.npy
mix_0046_1_1.npy,1,1,horn_1_1.npy
mix_0047_1_1.npy,1,1,horn_1_1.npy
mix_0048_1_1.npy,1,1,horn_1_3.npy
mix_0049_1_2.npy,1,2,siren_1_2.npy
mix_0050_1_1.npy,1,1,horn_1_1.npy
mix_0051_1_2.npy,1,2,siren_1_1.npy
mix_0052_1_1.npy,1,1,horn_1_2.npy
mix_0053_1_1.npy,1,1,horn_1_2.npy
mix_0054_1_1.npy,1,1,horn_1_3.npy
mix_0055_1_1.npy,1,1,horn_1_1.npy
mix_0056_1_2.npy,1,2,siren_1_1.npy
mix_0057_1_1.npy,1,1,horn_1_3.npy
